SEGID,PERIOD,SEASONGROUP,DOWGROUP,HRPCTOF,VCGroupCode,numRecords,CAP1HLSum,PrdPCEFlowSum,PkHrPCEFlowSum,Pk15PCEFlowSum,PrdVCMax,PkHrVCMax,Pk15VCMax
0006_141.0,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,2130,129,159,181,0.07,0.09,0.1
0006_141.0,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,2130,96,112,128,0.05,0.06,0.07
0006_141.0,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,2130,157,175,198,0.08,0.09,0.1
0006_146.9,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,2130,129,158,180,0.08,0.1,0.11
0006_146.9,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,2130,96,113,129,0.05,0.06,0.07
0006_146.9,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,2130,157,174,198,0.08,0.09,0.1
0006_149.9,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,2130,164,199,226,0.1,0.13,0.14
0006_149.9,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,2130,136,154,176,0.07,0.08,0.09
0006_149.9,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,2130,294,317,361,0.15,0.16,0.19
0006_150.6,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,2130,165,201,228,0.1,0.13,0.14
0006_150.6,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,2130,143,162,185,0.07,0.08,0.1
0006_150.6,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,2130,299,322,366,0.15,0.17,0.19
0006_152.6,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,1966,166,202,230,0.12,0.14,0.16
0006_152.6,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,1966,149,169,191,0.08,0.09,0.11
0006_152.6,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,1966,281,303,344,0.15,0.16,0.18
